               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11155,             0.01502,             0.07645,           0.0029821,             0.16667,           0.0020208,           0.0004045,            0.072015,            0.010321,            0.050395,              0.0982,              0.0002,              0.0002
                   1,             0.10877,            0.017016,            0.074224,           0.0048309,             0.27778,           0.0038155,          0.00071936,            0.067423,            0.011289,            0.049591,             0.09549,           0.0004901,           0.0004901
                   2,            0.095204,            0.019181,            0.073196,           0.0060018,             0.36111,            0.005322,           0.0012801,            0.061306,            0.012444,            0.048553,            0.092768,          0.00076832,          0.00076832
                   3,            0.092532,            0.021611,            0.071064,           0.0075663,             0.46717,           0.0070888,           0.0016818,            0.055543,             0.01337,            0.047269,            0.090035,           0.0010347,           0.0010347
                   4,            0.083824,            0.025115,            0.067719,            0.010007,             0.60859,            0.010672,            0.002319,            0.050537,            0.014297,            0.045901,            0.087289,           0.0012891,           0.0012891
                   5,            0.077024,            0.022312,            0.064004,            0.011852,             0.72727,            0.016083,           0.0030876,             0.04881,            0.014575,            0.044727,            0.084532,           0.0015317,           0.0015317
                   6,            0.074247,            0.025912,            0.059083,            0.013303,             0.86364,            0.026675,           0.0047155,            0.046239,            0.014897,             0.04308,            0.081762,           0.0017624,           0.0017624
                   7,            0.075646,            0.022697,            0.058109,            0.014549,             0.95455,            0.035759,           0.0066911,            0.045464,            0.014777,            0.042165,            0.078981,           0.0019812,           0.0019812
                   8,            0.074859,            0.024848,            0.056936,            0.013773,                   1,            0.048309,            0.013169,            0.043644,            0.014681,            0.039863,            0.076188,           0.0021882,           0.0021882
                   9,            0.068465,            0.021992,            0.052338,             0.01307,                   1,            0.074222,            0.022201,            0.042024,            0.014541,            0.037976,            0.073383,           0.0023832,           0.0023832
                  10,            0.066244,            0.027926,            0.049443,            0.011856,                   1,             0.15359,            0.050797,            0.037191,            0.014607,            0.034416,            0.070566,           0.0025664,           0.0025664
                  11,            0.062479,            0.028618,              0.0445,            0.011966,                   1,             0.20556,            0.055687,            0.038672,            0.013754,            0.032075,            0.067738,           0.0027377,           0.0027377
                  12,            0.061687,            0.024571,            0.043057,            0.097775,             0.53535,             0.14092,            0.042783,            0.045686,            0.011128,            0.028048,            0.064897,           0.0028971,           0.0028971
                  13,            0.063062,            0.024991,            0.041658,             0.36826,             0.84117,             0.47165,             0.14536,            0.043816,            0.010762,            0.026832,            0.062045,           0.0030447,           0.0030447
                  14,            0.064694,             0.01862,            0.041812,             0.28605,             0.62121,              0.5173,             0.17877,            0.041303,            0.010769,            0.025817,             0.05918,           0.0031803,           0.0031803
                  15,            0.057323,            0.021297,            0.036739,             0.19244,             0.86379,             0.21218,            0.093708,            0.040706,            0.011003,            0.025616,            0.056304,           0.0033041,           0.0033041
                  16,            0.057315,            0.019352,            0.036842,              0.1768,             0.81566,             0.20584,            0.079346,            0.041072,            0.010856,            0.025823,            0.053416,            0.003416,            0.003416
                  17,            0.062578,            0.018107,            0.035644,             0.17002,             0.71465,             0.20276,            0.077114,            0.040788,            0.010758,            0.025574,            0.050516,            0.003516,            0.003516
                  18,            0.064384,            0.020464,            0.035451,              0.2142,             0.86616,              0.2412,              0.1073,            0.040331,            0.010696,            0.025324,            0.047604,           0.0036042,           0.0036042
                  19,            0.061427,            0.019034,            0.036671,             0.36205,             0.72727,             0.45615,             0.18969,            0.045555,            0.010823,            0.025736,             0.04468,           0.0036804,           0.0036804
                  20,            0.062531,            0.015857,            0.034853,             0.37418,              0.7822,             0.50912,             0.15822,            0.041387,            0.010267,            0.025123,            0.041745,           0.0037448,           0.0037448
                  21,            0.054033,            0.018072,            0.034719,             0.53197,                0.75,             0.61307,             0.37417,            0.036952,            0.010607,            0.024721,            0.038797,           0.0037973,           0.0037973
                  22,            0.058177,            0.020288,            0.034591,             0.54066,             0.69401,             0.58993,             0.28247,             0.04568,            0.011028,            0.024286,            0.035838,           0.0038379,           0.0038379
                  23,            0.058252,            0.018134,            0.033769,             0.69911,             0.71084,             0.61387,             0.24098,            0.040685,            0.010432,            0.024024,            0.032867,           0.0038667,           0.0038667
                  24,            0.052394,            0.018512,            0.032822,             0.44744,             0.77778,             0.64892,              0.2238,            0.035903,            0.010806,            0.023398,            0.029884,           0.0038835,           0.0038835
                  25,            0.056348,            0.016523,            0.033287,             0.45878,             0.66667,             0.56946,             0.37452,            0.038851,            0.010517,            0.022876,            0.026888,           0.0038885,           0.0038885
                  26,            0.055161,            0.018793,            0.032861,              0.4955,             0.66667,             0.57689,             0.38263,            0.038719,            0.010445,            0.022691,            0.023882,           0.0038816,           0.0038816
                  27,            0.057098,            0.016971,            0.032589,             0.36055,             0.69903,              0.5042,             0.15476,            0.041063,           0.0098048,            0.022276,            0.020863,           0.0038628,           0.0038628
                  28,            0.054295,            0.017576,            0.033994,             0.36055,             0.69903,              0.5042,             0.15476,            0.041063,           0.0098048,            0.022276,            0.017832,           0.0038322,           0.0038322
                  29,            0.051211,            0.016524,            0.032778,             0.44873,             0.91667,             0.68085,             0.30769,            0.031406,           0.0096308,            0.021715,             0.01479,           0.0037896,           0.0037896
                  30,            0.053263,            0.015928,            0.033469,              0.4983,             0.66667,             0.67517,             0.31334,            0.040814,           0.0090192,            0.021485,            0.011735,           0.0037352,           0.0037352
                  31,            0.053979,            0.019374,            0.031552,             0.41969,              0.7238,             0.69486,             0.41904,            0.034063,           0.0087457,            0.021306,           0.0086689,           0.0036689,           0.0036689
                  32,            0.050438,            0.015365,            0.031176,             0.41969,              0.7238,             0.69486,             0.41904,            0.034063,           0.0087457,            0.021306,           0.0055907,           0.0035907,           0.0035907
                  33,            0.050038,            0.017836,            0.031448,             0.46133,             0.88889,             0.75039,             0.22182,            0.032358,            0.009016,            0.021066,            0.003466,            0.003466,            0.003466
                  34,            0.054117,            0.017433,            0.032215,             0.42992,             0.75638,             0.67442,             0.34046,            0.027891,           0.0086713,            0.020901,            0.003466,            0.003466,            0.003466
                  35,            0.049431,            0.017587,            0.032219,             0.47202,                0.75,             0.64659,             0.31807,             0.02859,           0.0086387,            0.020836,            0.003268,            0.003268,            0.003268
                  36,            0.046626,            0.016116,            0.031492,             0.47202,                0.75,             0.64659,             0.31807,             0.02859,           0.0086387,            0.020836,             0.00307,             0.00307,             0.00307
                  37,            0.040934,            0.016112,            0.031101,              0.5111,               0.951,             0.73747,             0.45723,            0.023056,           0.0084949,            0.020758,            0.002872,            0.002872,            0.002872
                  38,            0.044702,            0.015718,            0.030939,             0.35711,             0.80556,             0.64486,             0.24007,             0.02984,           0.0085447,            0.020645,            0.002674,            0.002674,            0.002674
                  39,            0.050897,            0.014959,            0.034449,             0.50223,             0.97222,               0.738,             0.41909,            0.024067,           0.0082891,            0.020668,            0.002476,            0.002476,            0.002476
                  40,            0.041395,            0.016691,            0.033716,             0.50223,             0.97222,               0.738,             0.41909,            0.024067,           0.0082891,            0.020668,            0.002278,            0.002278,            0.002278
                  41,            0.041433,            0.016625,            0.030509,             0.52696,             0.97222,             0.71892,             0.42039,            0.024086,           0.0081792,            0.020625,             0.00208,             0.00208,             0.00208
                  42,            0.038575,            0.014962,            0.030615,             0.52333,             0.97222,              0.7214,             0.43602,            0.023924,           0.0081643,            0.020587,            0.001882,            0.001882,            0.001882
                  43,            0.037785,            0.014794,             0.03057,             0.51348,             0.94444,             0.71984,             0.44047,             0.02145,           0.0081229,            0.020473,            0.001684,            0.001684,            0.001684
                  44,            0.033536,            0.016582,             0.03029,             0.51348,             0.94444,             0.71984,             0.44047,             0.02145,           0.0081229,            0.020473,            0.001486,            0.001486,            0.001486
                  45,            0.038286,            0.015809,            0.031588,             0.51749,             0.94444,              0.7408,             0.42343,            0.019847,           0.0081184,            0.020408,            0.001288,            0.001288,            0.001288
                  46,            0.036946,            0.014925,             0.03096,             0.51896,             0.96557,             0.73542,             0.51405,            0.018936,           0.0079819,            0.020386,             0.00109,             0.00109,             0.00109
                  47,            0.035276,            0.014962,            0.031705,             0.50979,             0.94444,             0.75368,             0.47648,            0.016617,           0.0080867,             0.02033,            0.000892,            0.000892,            0.000892
                  48,            0.034964,            0.016546,            0.031383,             0.50979,             0.94444,             0.75368,             0.47648,            0.016617,           0.0080867,             0.02033,            0.000694,            0.000694,            0.000694
                  49,            0.037891,            0.016854,            0.031495,             0.50826,             0.94444,             0.76355,             0.48949,             0.01645,           0.0080515,            0.020311,            0.000496,            0.000496,            0.000496
